2025-01-02 12:19:36 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-01-02 12:19:36 [main] INFO  com.example.tamaq.TamaqApplication - Starting TamaqApplication using Java 23 with PID 8172 (C:\Users\raymbek\Desktop\tamaq\tamaq\target\classes started by raymbek in C:\Users\raymbek\Desktop\tamaq\tamaq)
2025-01-02 12:19:36 [main] INFO  com.example.tamaq.TamaqApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-02 12:19:40 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-01-02 12:19:40 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 312 ms. Found 6 JPA repository interfaces.
2025-01-02 12:19:43 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-01-02 12:19:43 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 6734 ms
2025-01-02 12:19:44 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-01-02 12:19:45 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2025-01-02 12:19:45 [main] INFO  org.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-01-02 12:19:46 [main] INFO  org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-01-02 12:19:53 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-01-02 12:19:53 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-01-02 12:19:55 [main] INFO  org.springframework.data.jpa.repository.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-01-02 12:20:00 [main] INFO  org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailsService
2025-01-02 12:20:02 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-01-02 12:20:02 [main] INFO  com.example.tamaq.TamaqApplication - Started TamaqApplication in 27.343 seconds (process running for 38.799)
2025-01-02 12:20:38 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-01-02 12:20:38 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 18 ms
2025-01-02 12:20:38 [http-nio-8080-exec-1] INFO  com.example.tamaq.Controllers.HomeController - Отображение страницы входа
2025-01-02 12:20:40 [http-nio-8080-exec-4] INFO  com.example.tamaq.Controllers.HomeController - Отображение страницы входа
2025-01-02 12:20:44 [http-nio-8080-exec-6] INFO  com.example.tamaq.Controllers.HomeController - Загрузка главной страницы для пользователя: admin
2025-01-02 12:20:44 [http-nio-8080-exec-6] INFO  com.example.tamaq.Controllers.HomeController - Главная страница успешно загружена для пользователя: admin
2025-01-02 12:20:48 [http-nio-8080-exec-1] INFO  com.example.tamaq.Controllers.UserProfileController - Получение профиля пользователя: admin
2025-01-02 12:20:48 [http-nio-8080-exec-1] INFO  com.example.tamaq.Services.UserService - Поиск пользователя по имени: admin
2025-01-02 12:20:48 [http-nio-8080-exec-1] INFO  com.example.tamaq.Controllers.UserProfileController - Данные профиля загружены для пользователя: admin
2025-01-02 12:20:54 [http-nio-8080-exec-9] INFO  com.example.tamaq.Controllers.UserProfileController - Редактирование профиля пользователя: admin
2025-01-02 12:20:54 [http-nio-8080-exec-9] INFO  com.example.tamaq.Services.UserService - Поиск пользователя по имени: admin
2025-01-02 12:20:54 [http-nio-8080-exec-9] INFO  com.example.tamaq.Controllers.UserProfileController - Форма редактирования загружена для пользователя: admin
2025-01-02 12:20:56 [http-nio-8080-exec-7] INFO  com.example.tamaq.Controllers.UserProfileController - Попытка обновить профиль пользователя: admin
2025-01-02 12:20:56 [http-nio-8080-exec-7] INFO  com.example.tamaq.Services.UserService - Поиск пользователя по имени: admin
2025-01-02 12:20:56 [http-nio-8080-exec-7] INFO  com.example.tamaq.Services.UserService - Попытка обновить профиль пользователя: admin
2025-01-02 12:20:56 [http-nio-8080-exec-7] INFO  com.example.tamaq.Services.UserService - Поиск пользователя по имени: admin
2025-01-02 12:20:56 [http-nio-8080-exec-7] INFO  com.example.tamaq.Services.UserService - Пользователь найден, обновляем данные: admin
2025-01-02 12:20:56 [http-nio-8080-exec-7] INFO  com.example.tamaq.Services.UserService - Обновлены контактные данные для пользователя: admin
2025-01-02 12:20:57 [http-nio-8080-exec-7] INFO  com.example.tamaq.Services.UserService - Профиль пользователя успешно обновлён: admin
2025-01-02 12:20:57 [http-nio-8080-exec-7] INFO  com.example.tamaq.Controllers.UserProfileController - Профиль пользователя успешно обновлён: admin
2025-01-02 12:20:57 [http-nio-8080-exec-1] INFO  com.example.tamaq.Controllers.UserProfileController - Получение профиля пользователя: admin
2025-01-02 12:20:57 [http-nio-8080-exec-1] INFO  com.example.tamaq.Services.UserService - Поиск пользователя по имени: admin
2025-01-02 12:20:57 [http-nio-8080-exec-1] INFO  com.example.tamaq.Controllers.UserProfileController - Данные профиля загружены для пользователя: admin
2025-01-02 12:21:02 [http-nio-8080-exec-10] INFO  com.example.tamaq.Controllers.HomeController - Загрузка главной страницы для пользователя: admin
2025-01-02 12:21:02 [http-nio-8080-exec-10] INFO  com.example.tamaq.Controllers.HomeController - Главная страница успешно загружена для пользователя: admin
2025-01-02 12:24:15 [SpringApplicationShutdownHook] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-01-02 12:24:25 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-01-02 12:24:25 [main] INFO  com.example.tamaq.TamaqApplication - Starting TamaqApplication using Java 23 with PID 5616 (C:\Users\raymbek\Desktop\tamaq\tamaq\target\classes started by raymbek in C:\Users\raymbek\Desktop\tamaq\tamaq)
2025-01-02 12:24:25 [main] INFO  com.example.tamaq.TamaqApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-02 12:24:27 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-01-02 12:24:27 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 225 ms. Found 6 JPA repository interfaces.
2025-01-02 12:24:29 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-01-02 12:24:30 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4406 ms
2025-01-02 12:24:30 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-01-02 12:24:30 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2025-01-02 12:24:31 [main] INFO  org.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-01-02 12:24:32 [main] INFO  org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-01-02 12:24:36 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-01-02 12:24:37 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-01-02 12:24:38 [main] INFO  org.springframework.data.jpa.repository.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-01-02 12:24:42 [main] INFO  org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailsService
2025-01-02 12:24:43 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-01-02 12:24:43 [main] INFO  com.example.tamaq.TamaqApplication - Started TamaqApplication in 19.62 seconds (process running for 22.953)
2025-01-02 12:24:57 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-01-02 12:24:57 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2025-01-02 12:24:57 [http-nio-8080-exec-3] INFO  com.example.tamaq.Controllers.HomeController - Отображение страницы входа
2025-01-02 12:25:08 [http-nio-8080-exec-6] INFO  com.example.tamaq.Controllers.HomeController - Отображение страницы входа
2025-01-02 12:25:08 [http-nio-8080-exec-7] INFO  com.example.tamaq.Controllers.HomeController - Отображение страницы входа
2025-01-02 12:25:12 [http-nio-8080-exec-8] INFO  com.example.tamaq.Controllers.HomeController - Загрузка главной страницы для пользователя: admin
2025-01-02 12:25:12 [http-nio-8080-exec-8] INFO  com.example.tamaq.Controllers.HomeController - Главная страница успешно загружена для пользователя: admin
2025-01-02 12:27:07 [SpringApplicationShutdownHook] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-01-02 12:27:18 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-01-02 12:27:18 [main] INFO  com.example.tamaq.TamaqApplication - Starting TamaqApplication using Java 23 with PID 5764 (C:\Users\raymbek\Desktop\tamaq\tamaq\target\classes started by raymbek in C:\Users\raymbek\Desktop\tamaq\tamaq)
2025-01-02 12:27:18 [main] INFO  com.example.tamaq.TamaqApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-02 12:27:21 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-01-02 12:27:22 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 515 ms. Found 6 JPA repository interfaces.
2025-01-02 12:27:24 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-01-02 12:27:25 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 6255 ms
2025-01-02 12:27:26 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-01-02 12:27:26 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2025-01-02 12:27:26 [main] INFO  org.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-01-02 12:27:27 [main] INFO  org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-01-02 12:27:34 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-01-02 12:27:35 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-01-02 12:27:36 [main] INFO  org.springframework.data.jpa.repository.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-01-02 12:27:41 [main] INFO  org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailsService
2025-01-02 12:27:43 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-01-02 12:27:43 [main] INFO  com.example.tamaq.TamaqApplication - Started TamaqApplication in 26.548 seconds (process running for 31.007)
2025-01-02 12:27:45 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-01-02 12:27:45 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2025-01-02 12:27:45 [http-nio-8080-exec-2] INFO  com.example.tamaq.Controllers.HomeController - Отображение страницы входа
2025-01-02 12:27:52 [http-nio-8080-exec-4] INFO  com.example.tamaq.Controllers.HomeController - Отображение страницы входа
2025-01-02 12:27:58 [http-nio-8080-exec-8] INFO  com.example.tamaq.Controllers.HomeController - Загрузка главной страницы для пользователя: admin
2025-01-02 12:27:58 [http-nio-8080-exec-8] INFO  com.example.tamaq.Controllers.HomeController - Главная страница успешно загружена для пользователя: admin
2025-01-02 12:30:38 [SpringApplicationShutdownHook] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-01-02 12:30:48 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-01-02 12:30:48 [main] INFO  com.example.tamaq.TamaqApplication - Starting TamaqApplication using Java 23 with PID 12532 (C:\Users\raymbek\Desktop\tamaq\tamaq\target\classes started by raymbek in C:\Users\raymbek\Desktop\tamaq\tamaq)
2025-01-02 12:30:48 [main] INFO  com.example.tamaq.TamaqApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-02 12:30:51 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-01-02 12:30:52 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 290 ms. Found 6 JPA repository interfaces.
2025-01-02 12:30:54 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-01-02 12:30:55 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 6145 ms
2025-01-02 12:30:55 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-01-02 12:30:56 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2025-01-02 12:30:56 [main] INFO  org.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
